Ticker,Date,시가총액(억),보유비중(%),거래비중(%),보유자수(명),내부보유금액(억),"24시간 순입금(억)",전일대비유통량증감(%),"24시간 거래금액(억)",체결강도(%),가격,빗썸유통비율(%),거래금액/내부보유금액(%),순입금/내부보유금액(%),"1주일 상승률(%)","1개월 상승률(%)","3개월 상승률(%)"
BTC,2024/04/02,17681830,4,24,1421550,37747.49,344.1,0.67,1903.1,65.17,96145000,0.21,5.04,0.91,-3.81,4.35,64.13
ETH,2024/04/02,5444810,4,35,757172,13490.27,75.7,0.44,600.9,94.65,4853000,0.25,4.45,0.56,-4.5,-1.38,59.16
ETC,2024/04/02,60824,6,31,572127,2710.03,6.1,0.08,145.1,62.51,44420,4.46,5.35,0.23,-2.77,-7.15,62.31
XRP,2024/04/02,444248,3,16,1356769,13354.87,150.3,0.25,1072,98.7,863,3.01,8.03,1.13,-2.37,-5.57,9.93
BCH,2024/04/02,160424,5,32,499900,2000.02,8,0.26,366.4,71.72,862500,1.25,18.32,0.4,12.01,34.55,170.2
QTUM,2024/04/02,6007,5,46,499340,462.4,0.5,0.15,30.4,71.11,6100,7.7,6.57,0.11,-8.4,-24.03,39.9
BTG,2024/04/02,10896,18,51,457059,550.88,0.24,0.01,81.4,101.78,62000,5.06,14.78,0.04,-7.6,17.42,136.19
EOS,2024/04/02,14960,7,49,672181,1107.6,0.31,0.18,56.2,107.34,1423,7.4,5.07,0.03,-7.23,-6.99,36.56
ICX,2024/04/02,4255,14,43,115874,87.77,-0.09,0.19,8.8,72.13,459,2.06,10.03,-0.1,-8.2,-0.21,35.39
TRX,2024/04/02,139536,6,39,442492,596.5,-2.4,-0.55,68.7,128.91,170,0.43,11.52,-0.4,-1.16,-13.26,17.24
ELF,2024/04/02,5781,51,52,102155,61.63,-0.3,-0.01,1.6,132.54,850,1.07,2.6,-0.49,-7.3,-13.17,18.54
KNC,2024/04/02,1965,19,56,89241,49.03,-0.33,0.32,5.1,68.67,1116,2.5,10.4,-0.67,-14.08,-2.36,24.41
GLM,2024/04/02,7546,19,43,96962,57.46,-0.08,-0.04,17.1,87.52,801,0.76,29.76,-0.14,-0.62,-15.94,151.88
